Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh)_x,Electricity from hydro (TWh)_x,Electricity from solar (TWh)_x,Other renewables including bioenergy (TWh),Renewables (% electricity),Electricity from hydro (TWh)_y,Hydro (% equivalent primary energy),Hydro (% electricity),Electricity from wind (TWh)_y,Wind (% equivalent primary energy),Wind (% electricity),Electricity from solar (TWh)_y,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total
Algeria,DZA,1965,4.7630677,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,,0.4,4.7630677,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1966,3.518747,0.0,0.0,0.0,355,0.0,355,0.0,0.0,,355,3.518747,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1967,4.2919536,0.0,0.0,0.0,0.41,0.0,0.41,0.0,0.0,,0.41,4.2919536,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1968,5.4861946,0.0,0.0,0.0,563,0.0,563,0.0,0.0,,563,5.4861946,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1969,3.1827636,0.0,0.0,0.0,361,0.0,361,0.0,0.0,,361,3.1827636,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1970,4.6656837,0.0,0.0,0.0,0.58,0.0,0.58,0.0,0.0,,0.58,4.6656837,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1971,2.4559188,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,,0.33,2.4559188,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1972,3.2783434,0.0,0.0,0.0,495,0.0,495,0.0,0.0,,495,3.2783434,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1973,4.175826,0.0,0.0,0.0,752,0.0,752,0.0,0.0,,752,4.175826,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1974,2.494738,0.0,0.0,0.0,497,0.0,497,0.0,0.0,,497,2.494738,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1975,1.3782818,0.0,0.0,0.0,328,0.0,328,0.0,0.0,,328,1.3782818,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1976,1.4010223,0.0,0.0,0.0,389,0.0,389,0.0,0.0,,389,1.4010223,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1977,0.88172823,0.0,0.0,0.0,269,0.0,269,0.0,0.0,,269,0.88172823,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1978,0.6521151,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,,0.25,0.6521151,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1979,0.5792936,0.0,0.0,0.0,291,0.0,291,0.0,0.0,,291,0.5792936,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1980,0.4290016,0.0,0.0,0.0,257,0.0,257,0.0,0.0,,257,0.4290016,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1981,0.5029403,0.0,0.0,0.0,366,0.0,366,0.0,0.0,,366,0.5029403,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1982,0.57087004,0.0,0.0,0.0,479,0.0,479,0.0,0.0,,479,0.57087004,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1983,0.25644946,0.0,0.0,0.0,235,0.0,235,0.0,0.0,,235,0.25644946,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1984,0.51367354,0.0,0.0,0.0,452,0.0,452,0.0,0.0,,452,0.51367354,,0.0,0.0,,0.0,0.0,,
Algeria,DZA,1985,0.72826535,0.0,0.0,0.0,646,0.0,646,0.0,0.0,5.2631583,646,0.72826535,5.2631583,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1986,0.26640448,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,1.9258916,0.25,0.26640448,1.9258916,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1987,0.5174273,0.0,0.0,0.0,499,0.0,499,0.0,0.0,3.9223394,499,0.5174273,3.9223394,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1988,0.17717436,0.0,0.0,0.0,183,0.0,183,0.0,0.0,1.310325,183,0.17717436,1.310325,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1989,0.22495823,0.0,0.0,0.0,226,0.0,226,0.0,0.0,1.4748107,226,0.22495823,1.4748107,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1990,0.1267387,0.0,0.0,0.0,135,0.0,135,0.0,0.0,0.8383011,135,0.1267387,0.8383011,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1991,0.277607,0.0,0.0,0.0,293,0.0,293,0.0,0.0,1.6892477,293,0.277607,1.6892477,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1992,0.18375747,0.0,0.0,0.0,199,0.0,199,0.0,0.0,1.0882642,199,0.18375747,1.0882642,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1993,0.35028014,0.0,0.0,0.0,353,0.0,353,0.0,0.0,1.8182755,353,0.35028014,1.8182755,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,1994,0.16257899,0.0,0.0,0.0,166,0.0,166,0.0,0.0,0.83488405,166,0.16257899,0.83488405,0.0,0.0,0.0,0.0,0.0,0.0,
